,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R3_blank.blank.blank.blank_4165NPanc-78-Scene-001_c4_ORG.tif,R3,c4,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,120.0,3.0
Registered-R3_blank.blank.blank.blank_4165NPanc-78-Scene-001_c5_ORG.tif,R3,c5,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,160.0,3.0
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c1_ORG.tif,R4,c1,ORG,4165NPanc-73-Scene-001,DAPI,4165NPanc-73,10.0,4.0
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c2_ORG.tif,R4,c2,ORG,4165NPanc-73-Scene-001,CK7,4165NPanc-73,12.0,4.0
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c3_ORG.tif,R4,c3,ORG,4165NPanc-73-Scene-001,CoxIV,4165NPanc-73,35.0,4.0
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c4_ORG.tif,R4,c4,ORG,4165NPanc-73-Scene-001,LaminB1,4165NPanc-73,120.0,4.0
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c5_ORG.tif,R4,c5,ORG,4165NPanc-73-Scene-001,Ecad,4165NPanc-73,160.0,4.0
Registered-R4_blank.blank.blank.blank_4165NPanc-74-Scene-001_c1_ORG.tif,R4,c1,ORG,4165NPanc-74-Scene-001,DAPI,4165NPanc-74,10.0,4.0
Registered-R4_blank.blank.blank.blank_4165NPanc-74-Scene-001_c2_ORG.tif,R4,c2,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,12.0,4.0
Registered-R4_blank.blank.blank.blank_4165NPanc-74-Scene-001_c3_ORG.tif,R4,c3,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,35.0,4.0
Registered-R4_blank.blank.blank.blank_4165NPanc-74-Scene-001_c4_ORG.tif,R4,c4,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,120.0,4.0
Registered-R4_blank.blank.blank.blank_4165NPanc-74-Scene-001_c5_ORG.tif,R4,c5,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,160.0,4.0
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c1_ORG.tif,R4,c1,ORG,4165NPanc-75-Scene-001,DAPI,4165NPanc-75,10.0,4.0
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c2_ORG.tif,R4,c2,ORG,4165NPanc-75-Scene-001,CK7,4165NPanc-75,12.0,4.0
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c3_ORG.tif,R4,c3,ORG,4165NPanc-75-Scene-001,CoxIV,4165NPanc-75,35.0,4.0
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c4_ORG.tif,R4,c4,ORG,4165NPanc-75-Scene-001,LaminB1,4165NPanc-75,120.0,4.0
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c5_ORG.tif,R4,c5,ORG,4165NPanc-75-Scene-001,Ecad,4165NPanc-75,160.0,4.0
Registered-R4_blank.blank.blank.blank_4165NPanc-76-Scene-001_c1_ORG.tif,R4,c1,ORG,4165NPanc-76-Scene-001,DAPI,4165NPanc-76,10.0,4.0
Registered-R4_blank.blank.blank.blank_4165NPanc-76-Scene-001_c2_ORG.tif,R4,c2,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,12.0,4.0
Registered-R4_blank.blank.blank.blank_4165NPanc-76-Scene-001_c3_ORG.tif,R4,c3,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,35.0,4.0
Registered-R4_blank.blank.blank.blank_4165NPanc-76-Scene-001_c4_ORG.tif,R4,c4,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,120.0,4.0
Registered-R4_blank.blank.blank.blank_4165NPanc-76-Scene-001_c5_ORG.tif,R4,c5,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,160.0,4.0
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c1_ORG.tif,R4,c1,ORG,4165NPanc-77-Scene-001,DAPI,4165NPanc-77,10.0,4.0
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c2_ORG.tif,R4,c2,ORG,4165NPanc-77-Scene-001,CK7,4165NPanc-77,12.0,4.0
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c3_ORG.tif,R4,c3,ORG,4165NPanc-77-Scene-001,CoxIV,4165NPanc-77,35.0,4.0
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c4_ORG.tif,R4,c4,ORG,4165NPanc-77-Scene-001,LaminB1,4165NPanc-77,120.0,4.0
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c5_ORG.tif,R4,c5,ORG,4165NPanc-77-Scene-001,Ecad,4165NPanc-77,160.0,4.0
Registered-R4_blank.blank.blank.blank_4165NPanc-78-Scene-001_c1_ORG.tif,R4,c1,ORG,4165NPanc-78-Scene-001,DAPI,4165NPanc-78,10.0,4.0
Registered-R4_blank.blank.blank.blank_4165NPanc-78-Scene-001_c2_ORG.tif,R4,c2,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,12.0,4.0
Registered-R4_blank.blank.blank.blank_4165NPanc-78-Scene-001_c3_ORG.tif,R4,c3,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,35.0,4.0
Registered-R4_blank.blank.blank.blank_4165NPanc-78-Scene-001_c4_ORG.tif,R4,c4,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,120.0,4.0
Registered-R4_blank.blank.blank.blank_4165NPanc-78-Scene-001_c5_ORG.tif,R4,c5,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,160.0,4.0
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c1_ORG.tif,R5,c1,ORG,4165NPanc-73-Scene-001,DAPI,4165NPanc-73,7.0,5.0
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c2_ORG.tif,R5,c2,ORG,4165NPanc-73-Scene-001,CK7,4165NPanc-73,12.0,5.0
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c3_ORG.tif,R5,c3,ORG,4165NPanc-73-Scene-001,CoxIV,4165NPanc-73,35.0,5.0
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c4_ORG.tif,R5,c4,ORG,4165NPanc-73-Scene-001,LaminB1,4165NPanc-73,120.0,5.0
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c5_ORG.tif,R5,c5,ORG,4165NPanc-73-Scene-001,Ecad,4165NPanc-73,160.0,5.0
Registered-R5_blank.blank.blank.blank_4165NPanc-74-Scene-001_c1_ORG.tif,R5,c1,ORG,4165NPanc-74-Scene-001,DAPI,4165NPanc-74,7.0,5.0
Registered-R5_blank.blank.blank.blank_4165NPanc-74-Scene-001_c2_ORG.tif,R5,c2,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,12.0,5.0
Registered-R5_blank.blank.blank.blank_4165NPanc-74-Scene-001_c3_ORG.tif,R5,c3,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,35.0,5.0
Registered-R5_blank.blank.blank.blank_4165NPanc-74-Scene-001_c4_ORG.tif,R5,c4,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,120.0,5.0
Registered-R5_blank.blank.blank.blank_4165NPanc-74-Scene-001_c5_ORG.tif,R5,c5,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,160.0,5.0
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c1_ORG.tif,R5,c1,ORG,4165NPanc-75-Scene-001,DAPI,4165NPanc-75,7.0,5.0
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c2_ORG.tif,R5,c2,ORG,4165NPanc-75-Scene-001,CK7,4165NPanc-75,12.0,5.0
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c3_ORG.tif,R5,c3,ORG,4165NPanc-75-Scene-001,CoxIV,4165NPanc-75,35.0,5.0
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c4_ORG.tif,R5,c4,ORG,4165NPanc-75-Scene-001,LaminB1,4165NPanc-75,120.0,5.0
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c5_ORG.tif,R5,c5,ORG,4165NPanc-75-Scene-001,Ecad,4165NPanc-75,160.0,5.0
Registered-R5_blank.blank.blank.blank_4165NPanc-76-Scene-001_c1_ORG.tif,R5,c1,ORG,4165NPanc-76-Scene-001,DAPI,4165NPanc-76,7.0,5.0
Registered-R5_blank.blank.blank.blank_4165NPanc-76-Scene-001_c2_ORG.tif,R5,c2,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,12.0,5.0
Registered-R5_blank.blank.blank.blank_4165NPanc-76-Scene-001_c3_ORG.tif,R5,c3,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,35.0,5.0
Registered-R5_blank.blank.blank.blank_4165NPanc-76-Scene-001_c4_ORG.tif,R5,c4,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,120.0,5.0
Registered-R5_blank.blank.blank.blank_4165NPanc-76-Scene-001_c5_ORG.tif,R5,c5,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,160.0,5.0
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c1_ORG.tif,R5,c1,ORG,4165NPanc-77-Scene-001,DAPI,4165NPanc-77,7.0,5.0
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c2_ORG.tif,R5,c2,ORG,4165NPanc-77-Scene-001,CK7,4165NPanc-77,12.0,5.0
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c3_ORG.tif,R5,c3,ORG,4165NPanc-77-Scene-001,CoxIV,4165NPanc-77,35.0,5.0
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c4_ORG.tif,R5,c4,ORG,4165NPanc-77-Scene-001,LaminB1,4165NPanc-77,120.0,5.0
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c5_ORG.tif,R5,c5,ORG,4165NPanc-77-Scene-001,Ecad,4165NPanc-77,160.0,5.0
Registered-R5_blank.blank.blank.blank_4165NPanc-78-Scene-001_c1_ORG.tif,R5,c1,ORG,4165NPanc-78-Scene-001,DAPI,4165NPanc-78,7.0,5.0
